id,failure_class,root_invariant,pleris_status,prevention_layers,proposed_treatment,priority,evidence_ids
J01,Browser storage is treated as guaranteed durable storage,Local acknowledgement states the durability actually obtained,specified but unproven,D+F+H,"Distinguish in-memory, locally committed and server-committed state; expose eviction/recovery",P0,"STORAGE,IDB,PWP"
J02,Offline merge converges but violates product meaning,Convergence is separate from preserving domain invariants and user intent,specified but unproven,B+D+H,Offer proven merge families and explicit validation; never universal last-write-wins,P0,"CRDT,ICONF,FIGMA,PWP"
J03,Deleted objects reappear after delayed replica replay,Deletion knowledge cannot be discarded while an admitted replica may resurrect state,missing,D+H,Define replica expiry and required reset before tombstone garbage collection,P0,"CRDT,PWP"
J04,Multiple tabs independently perform singleton background work,Singleton work is coordinated across the intended ownership domain,specified but unproven,D+F,Coordinate across tabs/workers and fence stale leaders; idempotency remains required,P1,"IDB,SW,PWP"
J05,Local database upgrade blocks forever on old clients,Schema upgrade must account for every live connection and incompatible client,missing,D+F+H,"Close or park owned connections, preserve pending drafts and expose blocked upgrade",P1,"IDB,SW,PCH"
J06,Wall-clock timestamps are mistaken for causal order,"Ordering evidence must match the promised consistency, not assume clocks agree",specified but unproven,D+H,Use authority-issued revisions for commits and explicit merge order for replicas,P0,"GH18,JEPSEN,PWP"
J07,"Offline queue replays under a new user, schema or expired intent","Queued intent retains its original identity, contract and validity conditions",specified but unproven,B+D+E+H,"Validate principal, policy, schema and expiry on replay; migrate or reject explicitly",P0,"PWP,STRIPEW,PB"
J08,Connectivity indicator is interpreted as successful synchronization,"Network presence, server reachability and replication convergence are distinct states",specified but unproven,A+D,"Report connecting, authenticated, catching-up, current and failed as applicable",P1,"PWP,JEPSEN"
K01,Browser parser repairs markup into a different tree,Compiler document structure must agree with browser parsing in its insertion context,partially covered,B+C+G,"Validate nesting/namespaces and compare parsed DOM, including table and SVG contexts",P1,"SVELTE,PCH"
K02,Environment-dependent initial state disagrees across targets,"Initial document, serialized state and code share compatible inputs",partially covered,B+C+D,Capture needed locale/time/random values once or explicitly defer them,P1,"SVELTE,PCH,PWP"
K03,Template identity is confused with a live instance address,Definition identity and instance identity cannot be interchangeable,covered,A+C+D,Keep existing identity-domain/instance/local-part decomposition,P0,"PST,PRQ"
K04,Keyed update reuses identity for a different semantic item,A retained UI identity continues to denote the same item within its domain,partially covered,B+D,Require identity for mutable lists; detect duplicate runtime keys and refuse ambiguous patch,P1,"PCH,PST"
K05,Patch sequence is partly applied before validation fails,A patch transaction is validated and committed without exposing an invalid partial document,partially covered,D+G,"Preflight addresses, versions and structural constraints; rollback or resnapshot on failure",P0,"PST,PWP"
K06,Resumption executes handler against incompatible captured state,"Handler, schema, audience and document revision must be jointly admissible",covered,B+D+E,Preserve existing checks; extend durable compatibility under T01,P0,"PST,PCH"
K07,External DOM mutation breaks exclusive renderer assumptions,The renderer must define ownership and recovery when the browser or external code changes DOM,specified but unproven,D+G+H,Distinguish owned nodes from external islands; detect broken anchors and recover without silently destroying edits,P1,"TRANSLATE,PCH"
K08,"Portals or shadow roots lose event, style or accessibility relationships","Logical ownership, DOM ancestry and composed event paths are different relations",missing,C+D+F,Represent physical placement separately from scope and semantic relationships,P1,"HTML,APG,PCH"
K09,Text and attribute source representation leaks into output meaning,"Authored text meaning survives parsing, lowering, escaping and emission",partially covered,C+G,Separate source spelling from decoded value; test whitespace and accessible names end-to-end,P1,PRQ
L01,Asynchronous state update overwrites an unfinished native edit,Draft text and selection are not interchangeable with committed domain value,specified but unproven,C+D+H,Model editing state separately; merge server updates without resetting active draft,P0,"INPUT,IME,PCH"
L02,Composition text is treated as a completed user edit,Preedit/composition and committed text have different transition semantics,missing,C+D+F+G,Generate composition-aware bindings; defer commit-dependent actions appropriately,P0,"IME,INPUT,PCH"
L03,Lazy handler misses event-dispatch-only obligations,Default prevention and transient event data access occur in the required dispatch phase,missing,B+C+D+F,Infer a minimal synchronous prelude and capture safe transient data before delayed work,P0,"QSYNC,QDRAG,PCH"
L04,Activation-gated operation runs after activation expires or is consumed,"Permission to act can be a transient browser condition, not a serializable value",missing,B+C+D+F,Classify activation requirements; eager/minimal path where needed; explicit unavailable outcome,P0,"HTML,CLIP,PCH"
L05,Updates unexpectedly move focus or selection,Unrelated updates preserve active user interaction identity,specified but unproven,D+G,"Preserve focus, selection and caret; explicit focus transition only when user task changes",P1,"HTML,WCAG,PCH"
L06,"SPA routing destroys link, history or scroll semantics","Navigation retains URL, history entry, scroll and native link affordances",specified but unproven,C+D+F,"Derive routing and fallback; test modified clicks, anchors, back/forward and restoration",P1,"PCH,BFCACHE"
L07,Enhanced and non-JS forms invoke different business contracts,Every submission transport decodes and authorizes the same command intent,specified but unproven,B+C+D,"Generate form decoder, error mapping and enhanced transport from one command input",P1,"PCH,PWP"
L08,Frozen or discarded page is treated as an ordinary unmount,"Freeze, restore, hidden, terminated and remounted states are distinct",specified but unproven,D+F+H,Pause/revalidate resources on restore; persist critical intent before termination; do not promise final cleanup on kill,P0,"BFCACHE,SW,STORAGE,PCH"
L09,"Autofill, undo or assistive input bypasses synthetic event assumptions",The native editing surface remains authoritative for supported input mechanisms,missing,C+D+F+G,"Reconcile actual control state, undo and autofill; test without keyboard-only assumptions",P1,"INPUT,WCAG,PCH"
L10,Clipboard or drag payload escapes its authority/lifetime,Transient browser data is decoded and scoped before asynchronous use,missing,B+C+D+F,"Capture permitted representations during dispatch, decode untrusted formats and preserve file ownership",P1,"QDRAG,CLIP,UPLOAD,PCH"
M01,Accessible name exists but control behavior is absent,"Role, name, state and operable behavior form one control contract",specified but unproven,B+C+D+G,Prefer native elements; custom controls must implement the complete interaction protocol,P1,"APG,WCAG,PCH"
M02,Pointer interaction has no keyboard or non-drag alternative,Every required operation has an accessible activation path,specified but unproven,B+C+G+H,Generate keyboard behavior where determined; require an alternative for custom gestures,P1,"WCAG,APG,PCH"
M03,Modal/popup focus escapes or fails to return meaningfully,"Modal ownership controls focus entry, containment and restoration",specified but unproven,C+D+F+G,Model invocation and return target; handle deleted opener and nested overlays,P1,"HTML,APG,PCH"
M04,Async state is invisible or excessively repeated to assistive technology,Important status transitions have an appropriate semantic announcement,specified but unproven,C+D+H+G,Derive status from resource state but let product choose urgency and wording,P1,"WCAG,PCH"
M05,Virtualization removes content needed for finding or accessible navigation,"Rendering optimization preserves the declared access, search and navigation contract",specified but unproven,C+D+F+H,Do not equate smaller DOM with universally better UI; retain or expose complete accessible structure,P1,"CVIS,WCAG,PCH"
M06,"Layout becomes unusable with zoom, contrast or text preferences",Essential content and controls remain usable under supported user preferences,specified but unproven,B+G+H,Check statically provable token issues and test rendered combinations; preserve user styles,P1,"WCAG,PCH"
M07,Animation ignores motion sensitivity or hides essential state,Motion preferences alter presentation without removing essential information,specified but unproven,C+G+H,Generate reduced-motion path from animation intent; require an equivalent state indication,P1,"WCAG,PCH"
M08,Media or visual information lacks an equivalent nonvisual representation,Required meaning is available through appropriate alternative modalities,specified but unproven,B+G+H,Require alternative slots/contracts; humans validate adequacy of descriptions and captions,P1,"WCAG,MEDIA,PCH"
M09,Form failure is announced without actionable field relationships,Validation failures identify affected input and recovery without losing entered values,specified but unproven,B+C+D+G,Generate stable label/error associations and summary focus; preserve draft values,P1,"WCAG,PCH"
N01,Geometry reads force pending writes to synchronously lay out,A measurement request states the frame/snapshot it can observe,partially covered,B+C+D,Retain phase rules; test indirect calls and adapter escapes with real traces,P0,"LAYOUT,PCH,PST"
N02,Resize feedback repeatedly invalidates its own measurement,Observation-triggered writes need a stable convergence or bounded deferred policy,partially covered,D+G+H,Detect self-amplification and bound/defer; explicit fixed-point behavior only when intended,P1,"RO,PCH"
N03,A stale geometry snapshot is used as current truth,Geometry is indexed by layout generation and coordinate space,specified but unproven,B+D,Carry snapshot freshness and coordinate system; refresh at legal phase,P1,"LAYOUT,RO,PCH"
N04,Containment or style elimination changes document semantics,"Optimization preserves intrinsic sizing, visibility and accessibility contracts",specified but unproven,C+G,Only add containment/remove rules when proven within the supported style model; otherwise measure or require explicit isolation,P1,"CVIS,PCH"
N05,Intrinsic images/fonts or wrapping produce overflow and shifts,Layout accounts for asynchronous intrinsic size and content-dependent bounds,specified but unproven,C+G+H,"Derive image dimensions where known, preserve wrapping and test long content/font swaps",P1,"LCP,LAYOUT,PCH"
N06,Visual viewport or virtual keyboard obscures active interaction,"Layout distinguishes visual viewport, layout viewport and usable input area",missing,D+F+G,Centralize keyboard/orientation/viewport lifecycle and test physical devices,P1,"HTML,WCAG,PCH"
N07,Animation performs avoidable layout/paint on every frame,Animation mechanism is compatible with declared rendering cost and semantics,partially covered,B+C+D+G,Select safe properties when equivalent; do not forbid necessary layout animations universally,P1,"LAYOUT,PCH"
N08,"Cascade, global style or print mode invalidates local assumptions","Style ownership must coexist with inheritance, user overrides and media contexts",specified but unproven,B+C+G+H,Preserve CSS semantics; record global dependencies and test print/forced-color/embedded contexts,P2,"PCH,WCAG"
O01,Translation is constrained to source-language sentence fragments,Message meaning and parameters are stable while grammar is locale-owned,missing,B+C+H,Typed message arguments; locale selects structure/plurals without duplicated application branches,P1,"FLUENT,PCH"
O02,Text editing or truncation splits user-perceived characters,"Text operation unit is explicit: code unit, code point, grapheme or semantic token",missing,A+B+D,Separate indexing APIs and preserve native composition; choose visible-text operations by default,P1,"INPUT,BIDI,PCH"
O03,Normalization or case folding changes identity unexpectedly,Display equivalence and identifier equality have independently declared authorities,missing,B+D+H,Keep stable IDs separate from labels; validate canonicalization at identity boundary,P1,"BIDI,OAUTH,PCH"
O04,Bidi control or direction assumptions misrepresent mixed text,Untrusted text direction cannot accidentally reorder surrounding UI meaning,specified but unproven,C+D+G,"Isolate inserted text, preserve writing modes and make dangerous invisible controls inspectable in tools",P1,"BIDI,PCH"
O05,"A date, local appointment and instant are represented by one timestamp type",Time value retains the information required by its domain meaning,missing,A+B+H,"Distinct Date, LocalDateTime, ZonedDateTime, Instant and monotonic Duration; explicit ambiguous conversion",P0,"TIME,PCH"
O06,A recurring schedule silently shifts after zone rule changes,Future recurrence states whether local time or exact elapsed time is authoritative,missing,D+H,Preserve recurrence intent; make rule-update resolution explicit for affected events,P1,"TIME,PCH"
O07,Formatting is reused as wire or financial representation,Display formatting is not a canonical serialization or rounding authority,specified but unproven,B+C+D+H,Separate formatted text from canonical numeric values and domain rounding,P1,"PCH,PB,TIME"
O08,Pagination order changes under locale or collation updates,A cursor identifies its ordering relation and snapshot assumptions,missing,D+H,Bind cursor to locale/collation/filter/version or explicitly restart,P1,"PGISO,PWP"
P01,Two protocol parsers disagree on message boundaries,Every hop agrees on the same unambiguous request framing,specified but unproven,E+G,Generate only standards-conformant messages; validate proxy topology and reject ambiguous framing,P1,"DESYNC,PCH"
P02,Streaming decoder mistakes chunks for complete messages,Transport chunk boundaries carry no application-message semantics,specified but unproven,C+D,Generate framing/stateful decoding; explicit end/error/truncated states,P1,"STREAM,PWP"
P03,Partial response is accepted or cached as complete,Completeness is independent of successfully received bytes,specified but unproven,D+E,Validate framing/completion before success or cache publication; support ranges only under their contract,P1,"HTTP,STREAM,PCH"
P04,Declared streaming benefit is defeated by buffering intermediaries,"A delivery claim concerns the deployed path, not only application writes",specified but unproven,E+G,Test compression/proxy/CDN buffering and abort propagation through the selected deployment,P1,"PCH,PPR"
P05,"Timeout omits queueing, connection or retry time",End-to-end budget contains all contributing waits and attempts,partially covered,D+E,Propagate absolute remaining budget across layers; timeout ownership F06,P0,"AWSTIME,AWSRETRY,PRS"
P06,Transport fallback changes application semantics,"Equivalent transports preserve ordering, acknowledgement and authorization",partially covered,C+D+G,"Run same conformance corpus over SSE, polling, WebSocket or supported WebTransport adapters",P1,"PST,PWP"
P07,HTTP method/status/header meaning disagrees with domain outcome,HTTP representation preserves the operation and caching semantics it exposes,specified but unproven,C+D+H,"Derive method, status, redirect and cache headers from typed outcomes; allow explicit external mappings",P1,"HTTP,PCH"
P08,"Certificate, DNS or connection assumptions fail outside language control",Connectivity and trust prerequisites are monitored and failure remains representable,specified but unproven,E+H+I,"Test expiry/failure paths, rotate overlap and expose operational dependency; do not promise prevention of all external outages",P1,"MOZCERT,PCH"
Q01,Push source overwhelms a slow consumer,Every stream has a bounded queue or explicit dropping/coalescing policy,specified but unproven,D+H,Propagate demand where possible; bound buffers for WebSocket/SSE/media and disconnect or coalesce by policy,P0,"STREAM,PCH"
Q02,Subscription cursor survives after its replay history expires,A resume token either proves continuity or requires explicit resnapshot,partially covered,D+H,Detect unavailable history; atomically replace snapshot then resume from its boundary,P1,"PST,STRIPEW,PWP"
Q03,WebRTC peers make conflicting signaling transitions,Signaling state transitions obey one connection protocol under concurrent offers,missing,B+D,Hide signaling collision/rollback mechanics behind a tested session resource,P2,"RTC,PCH"
Q04,Peer transport readiness is confused with signaling success,Session state distinguishes description negotiation from usable connectivity,missing,A+D+H,Expose connecting/degraded/disconnected/failed; retry and relay policy explicit,P2,"RTC,PCH"
Q05,Media capture continues under an unintended destination or obsolete permission,Capture permission does not authorize every recipient or later use,missing,B+D+F,Bind active capture to approved recipient/session and stop or reauthorize on change,P1,"MEDIA,PCH"
