id,failure_class,root_invariant,pleris_status,prevention_layers,proposed_treatment,priority,evidence_ids
B02,Object or tenant confused after authentication,"An authenticated subject is authorized for this object, action and tenant",partially covered,B+D,Bind resource identity to tenant/principal evidence and check dynamic equality at use,P0,"ZANZ,PWP"
B03,Revoked rights remain usable through cached authority,Authority used for an operation meets its required policy revision,missing,D+E+H,"Define authorization freshness, revocation propagation and fail-closed behavior",P0,"ZANZ,PCH"
B04,Check/use race on changing protected state,Authorization predicates and protected mutation refer to a coherent state,partially covered,D+H,Check within transaction or validate a revision-bound precondition at commit,P0,"PGISO,ZANZ,PWP"
B05,Confused deputy and authority laundering,A callee may use only authority intentionally delegated for this action,partially covered,B+D,"No ambient escalation through helpers, callbacks, jobs or adapters; preserve caller and purpose",P0,"MAC,JIF,PCH"
B06,Delegation accidentally broadens authority,"Delegation cannot increase resource, action, time or audience scope",missing,B+D,Support attenuation and expiry in standard capability adapters; validate at runtime,P1,"MAC,PCH"
B07,Privileged support action lacks accountable identity,Effective subject and initiating actor remain distinct for sensitive actions,missing,A+D+H,"Carry actor, subject and delegated purpose in command context and audit records",P1,"CEDAR,JIF,PWP"
B08,Process or placement grant mistaken for operation authority,Linking an allowed component does not authorize every operation or object,partially covered,B+D+E,"Keep import identity, ABI shape, capability set and runtime object policy separate",P0,"PNX,PRQ"
C01,Private data enters a shared materialization,A public artifact cannot depend on session/device/secret data without authorized release,partially covered,B+C+D,Propagate labels through values and control flow; enforce actual runtime audience,P0,"PCH,PWP,PPR"
C02,Implicit or derived leak bypasses direct field checks,"Branches, errors, aggregates and identifiers can carry restricted information",partially covered,B+D,"Specify supported noninterference model, including error/control dependencies",P0,"JIFCHECK,PWP"
C03,Secret captured in client code or transport metadata,"Code, manifests, captures, source maps and diagnostics are data sinks too",partially covered,B+C+E,"Run release-artifact privacy scans over emitted outputs, not just ordinary serializers",P0,"RSC2,PCH"
C04,Telemetry bypasses application privacy rules,Telemetry collection obeys the same audience and purpose constraints as application output,specified but unproven,B+C+D,Typed logging and tracing sinks with default minimization and bounded redaction,P1,"OTEL,PWP"
C05,Declassification authorized by attacker-controlled conditions,The release decision itself must have appropriate integrity and authority,missing,B+D,Separate endorsement from release; audit both the decision and released projection,P0,"JIFCHECK,PWP"
C06,Sensitive history or offline snapshots survive logout,Retained browser representations obey their own confidentiality and retention policy,partially covered,C+D+F+H,"Classify history, bfcache, IDB and offline drafts; purge owned stores on identity change",P0,"HTMX,BFCACHE,SESSION,PWP"
C07,Deletion removes primary row but not derived copies,Deletion has an explicit closure over owned derived representations,missing,C+D+E+H,"Model erasure requests, derived-copy inventory, tombstones and completion evidence",P0,"OTEL,HTTP,PWP"
C08,Purpose or consent changes do not reach ongoing collection,Use authorization is scoped by purpose and can change during a session,missing,B+D+H,"Gate collection at use, propagate policy epochs and stop ongoing owned collectors",P0,"JIF,CEDAR,OTEL,PWP"
C09,Placement satisfies secrecy but violates data residency,Processing and storage locations satisfy independently declared residency constraints,specified but unproven,B+E+H,"Propagate residency to caches, replicas, telemetry, backups and vendor adapters",P1,PWP
C10,In-process IFC mistaken for complete side-channel protection,A guarantee must state which observations and adversaries it excludes,intentionally outside scope,E+F+I,"State timing, shared hardware, malicious browser and out-of-band limits; offer isolation tiers",P1,"JIFCHECK,LAVAWEB,PWP"
D01,Text becomes executable markup or code,Untrusted text cannot enter an executable sink through ordinary interpolation,specified but unproven,A+B+C+D,Context-sensitive HTML/attribute/URL/CSS output; no universal SafeString,P1,"XSS,PCH"
D02,Sanitized HTML is reused in an incompatible or mutated context,"A sanitization proof applies only to its policy, context and unchanged result",specified but unproven,B+D,Opaque sanitized fragment type; invalidation on mutation; versioned sanitizer boundary,P1,"XSS,TT,PCH"
D03,URL or redirect authority confused with string escaping,"A syntactically encoded URL is not permission to navigate, fetch or load it",specified but unproven,B+D,"Distinct navigation, media and server-fetch URL policies; validate schemes and redirect targets",P1,"XSS,SSRF,PCH"
D04,Data concatenated into SQL or shell syntax,Values cannot acquire interpreter syntax authority,specified but unproven,A+B+C,Generate bound parameters; identifiers and executable names require separate capabilities,P1,"SQLI,PCH"
D05,SSRF restriction bypassed by resolution or redirects,Every actual network destination remains within the granted egress scope,specified but unproven,B+D+E,Validate resolution and each redirect; enforce network policy below application code,P1,"SSRF,PCH"
D06,Deserializer reconstructs behavior instead of data,External payloads cannot select arbitrary executable behavior or privileged references,partially covered,A+B+D,Decode bounded data-only schemas; separately authenticate permitted operation identity,P0,"RSC,PNX,PWP"
D07,Object property input mutates prototypes or ambient names,Untrusted keys cannot alter language/runtime lookup authority,missing,A+D,Copy decoded records into inert structures; restrict path setters and prototype access,P1,"PROTO,LAVA,PWP"
D08,Uploaded content executes or exhausts processing resources,"Upload acceptance does not imply trusted name, media type, content or processing cost",specified but unproven,D+E+H,"Typed upload lifecycle: received, validated, scanned, published; enforce quotas and decompression bounds",P1,"UPLOAD,PCH"
D09,Browser protections are inconsistent with generated content,Generated CSP/Trusted Types policies admit required code without silently broadening trust,specified but unproven,C+D+E+F,Derive hashes/nonces and sink policy; test unsupported targets with safe generated behavior,P1,"TT,XSS,PCH"
D10,Oversized or adversarial valid input consumes unbounded work,"Type validity does not imply bounded parsing, validation or execution cost",partially covered,B+D+E,"Bound bytes, depth, expansion and work; select safe regex implementation; reject unsupported costly constructs where knowable",P0,"CF19,RSC2,PCH"
E01,Session fixation or wrong renewal semantics,Privilege changes cannot reuse attacker-chosen session authority,specified but unproven,C+D,"Generate session establishment, rotation, expiry and revocation lifecycle",P1,"SESSION,PCH"
E02,Account switching retains old principal-bound state,All private work and retained state are scoped to a concrete identity epoch,partially covered,D,"Advance identity epoch, detach old work and refuse stale private completions",P0,"SESSION,PRS,PWP"
E03,Authenticated browser request lacks intentional authorization,Ambient credentials do not prove that this origin/user intended the action,specified but unproven,C+D+E,Generate request-intent defenses for each supported transport and non-JS form path,P1,"CSRF,PCH"
E04,CORS confused with access control,Read permission in a browser is distinct from server operation authorization,specified but unproven,D+E,Keep origin allowlists separate from command authority; reject credentialed wildcard policy,P1,"CSRF,OAUTH,PCH"
E05,Cookie scope exposes session authority unnecessarily,"Cookie lifetime, domain, path and transport match the session's intended scope",specified but unproven,C+E+F,Generate constrained cookies and integration-specific exceptions; audit subdomain trust,P1,"SESSION,PCH"
E06,OAuth callback belongs to another issuer or interaction,"Callback issuer, client, redirect and initiating interaction must match",missing,D+E,Provider adapter owns state/nonce/issuer/redirect validation and token-audience checks,P1,"OAUTH,PWP"
E07,Untrusted callback replay repeats a protected action,Authenticated message authenticity is distinct from freshness and duplicate suppression,partially covered,D,Verify raw bytes then bind sender/account/event identity; reject expired replay where contract permits,P1,"STRIPEW,PWP"
E08,Cross-origin embedding grants more browser authority than intended,"Framing, permission delegation and operation authority are separate grants",specified but unproven,B+E+F,Generate frame and permissions policies; review origin isolation against legitimate embeds,P1,"HTML,TT,LAVAWEB,PCH"
F01,Imperative resource outlives its owner,Every owned resource has one lifetime and a release path,partially covered,A+B+C+D,"Infer owners; generated cleanup on success, failure, cancellation and replacement",P0,"PCH,PPR,MEDIA"
F02,Scope cancellation merely changes bookkeeping,"Cancellation has defined adapter semantics, not just a cancellation counter",partially covered,D+G,Propagate cancellation to cancellable work; separately fence late results from uncancellable work,P0,"PRS,PRT"
F03,Completed stale work publishes after owner loss,A completion may publish only for the still-current owner/request generation,partially covered,D,Compare generation/identity epoch before cache or UI publication,P0,"PRS,PWP"
F04,Deduplicated consumer receives no shared result,"Deduplication shares the result or failure, not only execution count",partially covered,D,One request state machine per key; every admitted subscriber observes the same terminal outcome,P0,"PRS,PRT"
F05,One consumer cancels work still needed by another,"Work lifetime follows aggregate live demand, subject to explicit ownership policy",partially covered,C+D,Track live subscribers; release underlying work only after final demand or deadline,P1,"PRS,PWP"
F06,Declared timeout is not enforced,Deadline policy must affect running work and result publication,partially covered,D+G,"Use actual deadlines across queueing, connection, execution and retries; adapter-specific enforcement",P0,"PRS,AWSTIME"
F07,Detached task accidentally loses authority or durability,Escaping a scope requires explicit durable or detached authority and retained context,partially covered,B+D+E,"Distinguish request child, supervised service task and durable workflow",P0,"PCH,TEMPW"
F08,Resource released twice or used after transfer,Ownership transfer invalidates the old use path,partially covered,A+B+D,Affine API handles; generated lifetime guards for foreign/runtime calls,P1,"PCH,MEDIA,PNX"
F09,Cleanup itself fails or blocks indefinitely,Cleanup has bounded behavior and preserves primary failure information,specified but unproven,D+H,Bound asynchronous release; collect suppressed cleanup failures; isolate poisoned handles,P1,"PCH,TEMPA"
F10,"Hidden listeners, observers or object URLs retain resources",Every retained callback or native allocation is attributed to a live owner,specified but unproven,C+D+G,Generate disposal for observers/listeners/timers/object URLs/workers and instrument retained ownership,P1,"RO,MEDIA,PCH"
G01,Read-modify-write loses a concurrent update,A transition's assumptions must still hold when its write commits,specified but unproven,D+H,Compile declared preconditions into atomic checks at the authoritative store,P0,"PGISO,PWP"
G02,Individually valid writes violate a cross-row invariant,Transactions must preserve the declared aggregate invariant under permitted concurrency,specified but unproven,D+H,Select sufficient enforcement for known transactions; reject unsupported guarantees instead of promising generic snapshot safety,P0,"PGISO,ICONF,PWP"
G03,Reactive consumers observe an impossible intermediate combination,"A declared local transaction publishes a stabilized, coherent observation",specified but unproven,C+D,Define transaction boundaries and scheduling semantics for derived graphs,P1,"PMX,PCH"
G04,Optimistic rollback erases a later successful edit,Rejecting one intent must remove only that intent's contribution,partially covered,D+H,Maintain confirmed base plus pending pure transitions; rebase or serialize noncommuting operations,P0,"PST,CONVEX,FIGMA"
G05,Notification of new state is mistaken for applied state,Known remote version and locally realized version are distinct facts,covered,A+D,Retain existing separate version semantics and adversarial ordering corpus,P0,"PRQ,PST"
G06,Incidental object identity controls remote request lifetime,"Logical resource identity, not allocation or rendering, determines query identity",partially covered,A+C+D,Preserve semantic keys and demand ownership; complete result-sharing proof F04,P0,"CF25,PCH,PRS"
G07,Rendering or derivation secretly performs an external action,Reading a description must not initiate externally observable work,partially covered,B,Check effects transitively through higher-order calls and resolved foreign boundaries,P0,"PCH,PMX,PNX"
G08,Reactive dependency changes leave obsolete edges or cycles,Dynamic dependency membership changes atomically and converges under the declared cycle policy,specified but unproven,C+D+H,Remove obsolete edges; diagnose static cycles; bound or explicitly model feedback,P1,"PMX,SALSA,PWP"
G09,Priority scheduling changes observable application meaning,Scheduling may reorder work only within the program's observation and causality contract,missing,C+D+G,Separate priority hints from semantic order; test priority permutations,P0,"JEPSEN,PCH"
H01,Concurrent duplicate commands both execute,Claiming an operation and recording its effect must enforce one admissible execution,partially covered,D+E,Atomic claim plus effect/result persistence where supported; external effects require provider protocol,P0,"PRS,PRT,STRIPEI"
H02,Same idempotency key names different operations or payloads,"Idempotency binds tenant, operation version and canonical intent, not an arbitrary string alone",partially covered,D,Reject conflicting reuse; do not deduplicate deliberate separate interactions,P0,"STRIPEI,PRS,PWP"
H03,Lost response is reported as definite failure,Transport failure cannot establish whether an irreversible effect committed,specified but unproven,A+D+H,"Expose pending, committed, rejected and unknown; reconcile without inventing a new intent",P0,"PWP,STRIPEI,TEMPA"
H04,Idempotency guarantee silently expires before replay does,Replay horizon cannot exceed the guaranteed deduplication horizon without an explicit outcome,missing,B+D+H,"Relate offline queues, webhook retries and dedup retention; reject incompatible guarantees",P0,"STRIPEI,STRIPEW,PWP"
H05,State commits but its notification is lost,State change and publication intent are atomic at the authoritative transaction boundary,partially covered,C+D,Keep existing outbox; test crash after commit and before acknowledgement across restarts,P0,"PCH,PST"
H06,"Event is duplicated, reordered or skipped on reconnect","Consumers distinguish duplicate, next, gap and superseded events",partially covered,D+H,Generate deduplication and gap detection; resnapshot when replay unavailable,P1,"STRIPEW,PST"
H07,Compensation is treated as reversing history,"Compensation is another fallible domain action, not time reversal",specified but unproven,A+D+H,"Represent compensation pending, failed and manual resolution; never infer arbitrary inverse",P1,"TEMPA,PWP"
H08,Durable workflow replay uses changed nondeterministic behavior,Replayed history must produce compatible workflow decisions,specified but unproven,B+D+E,Record nondeterministic inputs and version decisions; keep incompatible code isolated or migrate explicitly,P0,"TEMPW,PCH"
H09,Cancellation is mistaken for undoing a committed effect,Stopping interest and stopping an uncommitted action are distinct from reversing a commit,specified but unproven,A+D+H,"Separate cancel request, cancelled-before-commit and already-committed outcomes",P0,"TEMPA,STRIPEI,PWP"
